Unnamed: 0.1,Unnamed: 0,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Votes,Country_Brazil,Country_Canada,Country_India,Country_Indonesia,Country_New Zealand,Country_Phillipines,Country_Qatar,Country_Singapore,Country_South Africa,Country_Sri Lanka,Country_Turkey,Country_UAE,Country_United Kingdom,Country_United States,Country Code_14,Country Code_30,Country Code_37,Country Code_94,Country Code_148,Country Code_162,Country Code_166,Country Code_184,Country Code_189,Country Code_191,Country Code_208,Country Code_214,Country Code_215,Country Code_216,Currency_Brazilian Real(R$),Currency_Dollar($),Currency_Emirati Diram(AED),Currency_Indian Rupees(Rs.),Currency_Indonesian Rupiah(IDR),Currency_NewZealand($),Currency_Pounds(£),Currency_Qatari Rial(QR),Currency_Rand(R),Currency_Sri Lankan Rupee(LKR),Currency_Turkish Lira(TL),Rating color_Green,Rating color_Orange,Rating color_Red,Rating color_White,Rating color_Yellow,Rating text_Excellent,Rating text_Good,Rating text_Not rated,Rating text_Poor,Rating text_Very Good
16,16,0.00020940215684221548,0.00010470107842110774,121.0565874,14.23767897,0.002512825882106586,850,0,0,0,3,4.0,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
17,17,0.00010470107842110774,0.00010470107842110774,120.951589,14.101834,0.00031410323526332324,1200,1,0,0,3,4.5,211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,18,0.00041880431368443097,0.00010470107842110774,121.045878,14.55436,0.00010470107842110774,600,0,0,0,2,4.5,118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,19,0.00041880431368443097,0.00010470107842110774,121.04622,14.549337,0.00010470107842110774,1375,1,0,0,4,4.4,320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
20,20,0.00041880431368443097,0.00020940215684221548,121.053725,14.545858,0.00010470107842110774,1375,1,0,0,4,4.7,320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,21,0.00041880431368443097,0.00020940215684221548,121.0534998,14.54565535,0.00010470107842110774,1375,1,0,0,4,4.5,320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,22,0.0020940215684221546,0.00041880431368443097,-47.88178889,-15.76414167,0.00010470107842110774,55,0,0,0,2,3.0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,23,0.0020940215684221546,0.00041880431368443097,-47.88266667,-15.7775,0.03130562244791121,30,0,0,0,1,3.8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
24,24,0.0020940215684221546,0.00041880431368443097,-47.88213611,-15.75747222,0.022824835095801486,45,0,0,0,2,3.7,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
25,25,0.0020940215684221546,0.00041880431368443097,-47.88816667,-15.75883333,0.0009423097057899697,60,0,0,0,3,3.8,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
26,26,0.0020940215684221546,0.0006282064705266465,-47.91566667,-15.83116667,0.0055491571563187105,50,0,0,0,2,3.2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,27,0.0020940215684221546,0.0006282064705266465,-47.91566667,-15.831,0.0017799183331588316,80,0,0,0,3,3.1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,28,0.0020940215684221546,0.0006282064705266465,-47.9075,-15.82,0.00010470107842110774,90,0,0,0,3,3.7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
29,29,0.0020940215684221546,0.0006282064705266465,-47.91016667,-15.82733333,0.0017799183331588316,200,0,0,0,4,3.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
30,30,0.0020940215684221546,0.0006282064705266465,-47.89016667,-15.797,0.00010470107842110774,30,0,0,0,1,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
31,31,0.0020940215684221546,0.0006282064705266465,-47.92366667,-15.83133333,0.005653858234739818,150,0,0,0,4,4.1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
32,32,0.0020940215684221546,0.00031410323526332324,-48.019,-15.83716667,0.0055491571563187105,100,0,0,0,4,3.1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,33,0.0020940215684221546,0.00031410323526332324,-48.01909167,-15.839775,0.00020940215684221548,60,0,0,0,3,3.6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
34,34,0.0020940215684221546,0.00031410323526332324,-48.01666667,-15.83483333,0.00010470107842110774,100,0,0,0,4,4.3,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
35,35,0.0020940215684221546,0.00010470107842110774,-47.889,-15.7865,0.0006282064705266465,230,0,0,0,4,4.2,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
36,36,0.0020940215684221546,0.00010470107842110774,-47.872359,-15.860621,0.00010470107842110774,100,0,0,0,4,3.6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
37,37,0.0020940215684221546,0.00010470107842110774,-47.95628333,-15.83451389,0.00010470107842110774,150,0,0,0,4,4.0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
38,38,0.0020940215684221546,0.00010470107842110774,-47.87283333,-15.82566667,0.0014658150978955084,240,0,0,0,4,3.2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,39,0.0020940215684221546,0.00010470107842110774,-47.8685,-15.819,0.0006282064705266465,230,0,0,0,4,4.9,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,40,0.0020940215684221546,0.00010470107842110774,-47.885812,-15.720118,0.005653858234739818,350,0,0,0,4,3.3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,41,0.0020940215684221546,0.00010470107842110774,-47.92102778,-15.79753056,0.0013611140194744007,50,0,0,0,2,3.6,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42,42,0.0020940215684221546,0.00010470107842110774,-43.377,-23.0115,0.00010470107842110774,140,0,0,0,4,4.0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
43,43,0.0020940215684221546,0.00010470107842110774,-43.178826,-22.905293,0.00031410323526332324,100,0,0,0,4,4.8,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,44,0.0020940215684221546,0.00031410323526332324,-43.18669167,-22.97207222,0.00020940215684221548,60,0,0,0,3,4.7,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,45,0.0020940215684221546,0.00031410323526332324,-43.17583333,-22.96216667,0.00010470107842110774,90,0,0,0,3,4.5,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
